ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Area Path;Assigned To;State
;;;"8";"Szűrő helyes kitöltése, majd a Szűrés gomb megnyomása. Törölni kívánt vezetési óra sorában lévő Szerkesztés gombra kattintás.
";"A megnyitott oldalon megjelenik a Szerkesztés blokk, amelyben módosíthatók az alábbi adatok:

-Kezdete - vége*
-Vezetett idő (a rendszer automatikusan tölti ki, nem kattintható)
-Vezetés jellege*
- Jármű rendszáma*
-Kilóméteróra-állás tól-ig*
- Vezetett km*

A kötelező mezők kiöltését a rendszer kikényszeríti. A Vezetés jellege és a Jármű rendszáma mezőknél a betöltött paraméterekből lehet választani.
A mezők kitölthetők, hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
A blokk alján megtalálhatók a piros Törlés, a Bezárás és a zöld Véglegesítés gombok.
";;;
;;;"9";"Törlés gombra kattintás.
";"A megnyitott oldalon megjelenik a Gyakorlati óra törlése blokk, ahol megadható az alábbi adat:
- Indoklás* (Szöveges mező)
Megjelenik továbbá a ""Kérjük, adja meg a gyakorlati óra törlésének okát!"" üzenet, valamint a Mégsem és piros Törlés gombok.
";;;
;;;"10";"Törlés gombra kattintás.
";"A  Törlés gomb aktív és kattintható. Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet.
A rendszer a Szakoktato/GyakorlatiOra#!Jovobeli-Veglegesitendo oldalra navigál, ahol a továbbiakban szűrés után nem jelenik meg a törölt óra. 
";;;
;;;"11";"Törölt vezetési órák fülre kattintás.
";"Szűrés után az előző lépések által törölt vezetési óra az itt megjelenő találati listában fog megjelenni.
";;;
"125449";"Test Case";"Jelenléti ív módosítása, távozás rögzítése/törlése- SZK-009";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Farkas Anna <RCINET\farkasan>";"Design"
"116591";"Shared Steps";;"1";"Login (szakoktató) - általános";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).
";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
";;;
;;;"1_2";"Szakoktatók bejelentkező oldal megnyitása a Vizsgajelentő leadása (gomb megnyomása)
";"Megnyílik a ""Szakoktatói bejelentkezés"" oldal, felhasználónév és jelszó megadható.
";;;
;;;"1_3";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/szakoktato címre (környezetfüggő URL).
A szakoktató regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe szakoktatónként.
";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.
";;;
;;;"1_4";"Hitelesítő kód megadása és belépés a rendszerbe
";"Megnyílik a https://tesztekapuauth.pallasz.hu/Szakoktato (oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (szakoktató) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.
";;;
;;;"2";"Jelenléti ív menüpont kiválasztása.
";"Megnyílik a Szakoktato/JelenletiIv oldal, melyen az alábbi gombok jelennek meg:

- Ma
- jobbra és balra mutató nyilak
- mai dátum
- frissítés gomb

Az oldal alapértelmezetten az aznapi dátumot mutatja.
";;;
;;;"3";"Módosítani kívánt jelenléti ívre kattintás.";"A jobbra és balra mutató nyilak segítségével a szerkeszteni kívánt eseményre kattintás után Szakoktato/JelenletiIv/Edit/400175 oldalra navigál a rendszer, ahol megjelennek az időpont adatai (nem kattinthatók), valamint a tanuló adatai, melynél csak a jelenlét Megjelent/Hiányzik rádió gombok kattinthatók.
Az oldalon megjelennek még a piros Tanóra lemondás, zöld Jelenléti ív lezárása és Mindenki megjelent gombok.";;;
;;;"4";"Tanulói jelenlét hiányzásra állítása a Hiányzik gomb megnyomásával. ";"Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer a Jelenléti ív megadása oldalon marad. A frissülő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben.
";;;
;;;"5";"Mindenki megjelent gomb megnyomása.";"Az oldalon megjelenik a Biztosan végrehajtja a műveletet? üzenet, melyre az Igen és Nem gombok segítségével lehet válaszolni. Az Igen gomb megnyomásával az oldal a Jelenléti ív megadása oldalra navigál, ahol az összes tanuló jelenléte Megjelentre állt át. ";;;
;;;"6";"Távozás rögzítése a megfelelő tanuló sorába lévő Távozás gomb megnyomásával.";"Az oldalon megjelenik a Biztosan végrehajtja a műveletet? üzenet, melyre az Igen és Nem gombok segítségével lehet válaszolni. Az Igen gomb megnyomásával az oldal a Jelenléti ív megadása oldalra navigál, ahol a távozás rögzítésénél megjelenik a rögzítés pontos időpontja percre pontosan. 
";;;
;;;"7";"Távozás rögzítésének törlése a megfelelő tanuló sorában lévő Törlés gomb megnyomásával. ";"Az oldalon megjelenik a Távozás visszavonása blokk, melyben szöveges mezőként kötelezően megadandó a Visszavonás oka*. A blokk alján megjelennek a Mégsem és Ok gombok.
";;;
;;;"8";"Ok gomb megnyomása.";"Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer a Jelenléti ív megadása oldalon marad. A frissülő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben, a távozás rögzítésénél újabb távozás adható meg.
";;;
"125450";"Test Case";"Jelenléti ív lezárása- SZK-009";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Farkas Anna <RCINET\farkasan>";"Design"
"116591";"Shared Steps";;"1";"Login (szakoktató) - általános";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).
";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
";;;
;;;"1_2";"Szakoktatók bejelentkező oldal megnyitása a Vizsgajelentő leadása (gomb megnyomása)
";"Megnyílik a ""Szakoktatói bejelentkezés"" oldal, felhasználónév és jelszó megadható.
";;;
;;;"1_3";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/szakoktato címre (környezetfüggő URL).
A szakoktató regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe szakoktatónként.
";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.
";;;
;;;"1_4";"Hitelesítő kód megadása és belépés a rendszerbe
";"Megnyílik a https://tesztekapuauth.pallasz.hu/Szakoktato (oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (szakoktató) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.
";;;
;;;"2";"Jelenléti ív menüpont kiválasztása.
";"Megnyílik a Szakoktato/JelenletiIv oldal, melyen az alábbi gombok jelennek meg:

- Ma
- jobbra és balra mutató nyilak
- mai dátum
- frissítés gomb

Az oldal alapértelmezetten az aznapi dátumot mutatja.
";;;
;;;"3";"Módosítani kívánt jelenléti ívre kattintás.
";"A jobbra és balra mutató nyilak segítségével a szerkeszteni kívánt eseményre kattintás után Szakoktato/JelenletiIv/Edit/400175 oldalra navigál a rendszer, ahol megjelennek az időpont adatai (nem kattinthatók), valamint a tanuló adatai, melynél csak a jelenlét Megjelent/Hiányzik rádió gombok kattinthatók.
Az oldalon megjelennek még a piros Tanóra lemondás, zöld Jelenléti ív lezárása és Mindenki megjelent gombok.
";;;
;;;"4";"Jelenléti ív lezárása gombra kattintás.";"Az oldalon megjelenik a Biztosan végrehajtja a műveletet? üzenet, melyre az Igen és Nem gombok segítségével lehet válaszolni. Az Igen gomb megnyomásával az oldal a Jelenléti ív megadása oldalra navigál, ahol megjelenik sárga színnel a  ""A Jelenléti ív 2022_12_19. 14:35-kor Dr. Szaki Szabolcs (szakiszabi) által lezárásra került."" üzenet. A dátum a módosítás dátumától, a szakoktató neve a belépésnél használt szakoktatótól függ.
A lezárást követően már csak a piros Tanóra megszakítása gomb marad aktív az oldalon.
";;;
;;;"5";"
";"
";;;
"125451";"Test Case";"Új elméleti vizsgajelentő";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"115088";"Shared Steps";;"1";"Login (képző szerv)";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
Vizsgabiztos";;;
;;;"1_2";"Képző szervek (Autósiskolák) bejelentkező oldal megnyitása (Képző szervek (Autósiskolák) gomb megnyomása)";"Megnyílik a beleptetes/Kepzoszervek oldal, amelyen az alábbi lehetőségek közül van lehetőség választani:
- Kategóriás
- Légügy
- Szaktanfolyami
- Utánképzés
- Vasút";;;
;;;"1_3";"""Kategóriás"" gomb megnyomása";"Megnyílik az ""Iskolai bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"1_4";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/Kategorias címre (környezetfüggő URL).
A képző szerv regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe képző szervként.";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.";;;
;;;"1_5";"Hitelesítő kód megadása és belépés a rendszerbe";"Megnyílik a https://tesztkvar.pallasz.hu/iskola (Iskola) oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (képző szerv) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"2";"Bejelentkezést követően a Vizsgaszervezés/Elméleti vizsgajelentő menüpontot kell választani. 
";"Az rendszer az Elméleti vizsgajelentő oldalra navigál (Iskola/ElmeletiVizsgajelento#!Nyitott), az oldalon a  Nyitott fül van kiválasztva, mellette megjelenik a Beküldött fül. A Nyitott fülön a felső blokkban megjelenik a szűrő, alatta pedig a szűrési feltételeknek megfelelő találati lista. 
A találati lista alapértelmezetten üres.
Az alábbi mezők biztosítják a szűrési feltételek megadását: 
- Azonosító
- Vizsga igényelt napja
- Vizsgajelentő típus
- Vizsgahelyszín

A szűrést vezérlő navigációs elemek:
-Szűrő feltételek törlése
-Szűrés

A találati lista alatt megjelenik az ""Új vizsgajelentő"" gomb.
";;;
;;;"3";"""Új vizsgajelentő"" gombra kattintás és fejadatok megadása.";"Az rendszer az Elméleti vizsgajelentő létrehozása oldalra navigál (Iskola/ElmeletiVizsgajelento/Create). A megnyitott oldalon megjelenik a Fejadatok blokk amelyben megadhatók az alábbi adatok: - Vizsga igényelt napja*
- Vizsgajelentő típus*
- Vizsgahelyszín*
- Speciális vizsga*

Az oldal alján megjelenik a ""Mentés"" gomb.

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"4";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a ""Mentés"" gomb megnyomása.
";"Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer az Elméleti vizsgajelentő szerkesztése oldalra navigál (ElmeletiVizsgajelento/Edit/400015#!Alapadatok). A megjelenő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben. 
Az oldaon az alábbi fülek (tab) aktív állapotúak, kiválaszthatók:
- Alapadatok
- Vizsgázók

Az Alapadatok tabon a Fejadatok között megjelenik a rendszer által generált egyedi azonosító is amely nem szerkeszthető.
 
Az oldal alján megjelenik:
- ""Vizsgajelentő törlése"" gomb
- ""Beküldés"" gomb 
- ""Mentés"" gomb.
";;;
;;;"5";"A Vizsgázók fülre kattintás.";"A rendszer az Iskola/ElmeletiVizsgajelento/Edit/400015#!Vizsgazok oldalra navigál. Az oldalon megjelenik a vizsgajelentőhöz hozzárendelt vizsgázók listája az alábbi adatokkal:
- Név
- Azonosító
- Kategória
- Képzés
- Vizsgák
- Vizsgadíj

A lista alatt megjelenik az ""Új vizsgázó"" gomb.";;;
;;;"6";"Új vizsgázó hozzáadása a vizsgajelentőhöz az ""Új vizsgázó"" gombra kattintva.";"A rendszer a Tanuló hozzáadása  (Iskola/ElmeletiVizsgajelento/VizsgazoRogzitese/400015) oldalra navigál.
Az oldalon megjelenik az Tanuló hozzáadásának folyamatlépései, az éppen aktuális lépéssel kiemelve:
- Tanuló azonosítása
- Vizsgák kiválasztása

Az oldal alján megjelenik a ""Tovább"" gomb amely aktív és kattintható.
";;;
;;;"7";"Azonosítási adatok megadása.";"A megnyitott oldalon megjelenik az Azonosítás blokk amelyben megadhatók az alábbi adatok:
- Születési idő*
- Tanulói azonosító*

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"8";"Vizsgák kiválasztása";"A megnyitott oldalon megjelenik a Vizsgák kiválasztása blokk amelyen belül a további blokkok jelennek meg:
Tanuló adatai (a blokk jobb felső szélén található ikonnal nyitható le és zárható be a blokk, ami az alábbi, csak olvasható mezőket tartalmazza):
- Név
- Születési név
- Születési hely, idő
- Anyja neve
- Azonosító
- Kategória
- Képzés

Vizsgák kiválasztása (a kategória és képzés alapján választható vizsga lehetőségeket tartalmazó táblázat az alábbi adatokkal):";;;
;;;"9";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a ""Vizsgázó felvétele vizsgajelentőre"" gomb megnyomása.
";"A kattintást követően a rendszer visszanavigál az Elméleti vizsgajelentő szerkesztése oldalra (Iskola/ElmeletiVizsgajelento/Edit/400017#!Vizsgazok) amelyen a Vizsgázók tab aktív.
A táblázatban megjelenik a vizsgajelentőhöz hozzáadott tanuló az alábbi adatokkal a megfelelő helyen és minőségben:
- Név
- Azonosító
- Kategória
- Képzés
- Vizsgák
- Vizsgadíj

";;;
